icao24,origin_country,velocity,on_ground
abbe23,United States,8.23,True
345583,Spain,244.34,False
394471,France,50.6,False
471d62,Hungary,252.29,False
471d61,Hungary,232.57,False
471d66,Hungary,253.72,False
458d99,Denmark,128.41,False
471d65,Hungary,249.37,False
5001fe,San Marino,11.32,True
458d9a,Denmark,85.12,False
471d5a,Hungary,134.83,False
471d5b,Hungary,242.84,False
471d5c,Hungary,204.78,False
a472c7,United States,134.27,False
345558,Spain,245.69,False
e49ca9,Brazil,224.3,False
40697c,United Kingdom,130.15,False
4784c2,Norway,176.74,False
344216,Spain,136.82,False
344218,Spain,247.28,False
a12732,United States,233.2,False
7cb05c,Australia,131.09,False
7cb05d,Australia,122.87,False
801800,India,206.26,False
aa3b84,United States,249.74,False
7cb065,Australia,164.64,False
7cb063,Australia,134.28,False
801808,India,62.87,False
ab003d,United States,63.61,False
7c607c,Australia,93.97,False
a1272f,United States,230.72,False
4adab0,Sweden,51.17,False
7cb059,Australia,164.39,False
a12711,United States,256.5,False
896196,United Arab Emirates,259.6,False
a842e7,United States,4.37,True
896199,United Arab Emirates,245.46,False
89618a,United Arab Emirates,236.16,False
406942,United Kingdom,67.64,False
a12778,United States,0.0,False
801835,India,163.81,False
a5e2a1,United States,223.7,False
801839,India,156.0,False
896175,United Arab Emirates,243.37,False
c044b2,Canada,123.13,False
a4870d,United States,244.53,False
a0f427,United States,264.33,False
80183b,India,218.96,False
a1277a,United States,246.79,False
896181,United Arab Emirates,235.01,False
a12758,United States,266.76,False
40690a,United Kingdom,204.64,False
80180b,India,253.11,False
80180e,India,0.0,True
39b9a4,France,143.13,False
406909,United Kingdom,121.72,False
896169,United Arab Emirates,290.26,False
45218e,Bulgaria,218.11,False
a3b771,United States,70.94,False
4043b8,United Kingdom,47.03,False
39dd42,France,244.57,False
39dd45,France,0.0,True
39dd44,France,136.18,False
a12799,United States,280.95,False
a5810c,United States,104.58,False
a0f44c,United States,263.33,False
ac486a,United States,87.84,False
452163,Bulgaria,212.24,False
80069d,India,87.97,False
3441cd,Spain,7.72,True
478791,Norway,112.33,False
ababb7,United States,190.67,False
478787,Norway,48.43,False
8a03e5,Indonesia,226.52,False
45213d,Bulgaria,228.13,False
440165,Austria,50.95,False
47878c,Norway,73.42,False
440175,Austria,2.06,True
47878d,Norway,2.57,True
440170,Austria,165.17,False
ad9bc8,United States,200.12,False
440198,Austria,0.0,True
